jps61,21667,2014 Spring Term
sm512,16625,2013 Spring Term
biu2,15769,2013 Fall Term
aww29,21760,2015 Spring Term
ay104,20021,2014 Fall Term
edh34,25030,2018 Fall Term
mdd36,22913,2018 Fall Term
ah358,18791,2017 Spring Term
bk132,22769,2015 Fall Term
mcf38,24701,2018 Spring Term
jo126,13248,2018 Fall Term
eh158,18707,2014 Spring Term
wqr,21578,2016 Fall Term
phd10,5027,2017 Fall Term
oaa16,2629,2014 Spring Term
mjs132,21391,2013 Spring Term
jab180,23882,2016 Fall Term
ta122,4440,2015 Fall Term
jn94,21163,2014 Spring Term
az112,1495,2013 Spring Term
yy145,23689,2016 Spring Term
cgl21,9086,2015 Fall Term
anl21,23619,2016 Spring Term
mm650,2165,2014 Spring Term
ls325,24053,2019 Spring Term
kdm65,23435,2019 Spring Term
amu8,23056,2018 Spring Term
hp122,22895,2019 Spring Term
nny,3739,2016 Spring Term
me75,23651,2018 Fall Term
eat15,21550,2013 Spring Term
mls104,12695,2019 Spring Term
nbb,23590,2018 Spring Term
chr13,22278,2014 Spring Term
lah112,21386,2018 Fall Term
ymb8,20477,2017 Spring Term
js684,20046,2013 Spring Term
hg92,21555,2018 Fall Term
amt75,19436,2013 Fall Term
drh35,12703,2015 Fall Term
cdd33,22098,2014 Fall Term
gtm7,15713,2014 Fall Term
ce87,19538,2018 Spring Term
mrb95,8079,2016 Fall Term
esn12,16623,2016 Spring Term
inh3,23101,2017 Fall Term
ajc29,3345,2019 Spring Term
amp109,1853,2016 Spring Term
afc27,7979,2015 Spring Term
jra57,8790,2013 Spring Term
ssz7,15504,2014 Spring Term
jw611,10104,2018 Spring Term
rim8,25282,2019 Spring Term
naw21,23405,2018 Spring Term
zjb3,18611,2017 Spring Term
bello02w,17525,2018 Spring Term
pyh,23127,2015 Fall Term
bp142,22672,2018 Spring Term
krb52,18514,2016 Fall Term
lrh33,24220,2018 Fall Term
xd24,10232,2013 Fall Term
jes129,22249,2014 Spring Term
kp208,685,2017 Fall Term
rdh35,24976,2018 Fall Term
jz259,16293,2014 Spring Term
lange03w,21557,2016 Spring Term
ra144,20412,2017 Fall Term
bk102,21460,2018 Fall Term
rta10,19233,2013 Fall Term
jaw109,9074,2013 Fall Term
tkm19,22837,2016 Fall Term
anw41,3313,2017 Fall Term
dyc6,24200,2017 Spring Term
rkc21,19471,2017 Spring Term
jag88,23470,2016 Spring Term
js744,18507,2018 Spring Term
wje4,17035,2013 Spring Term
vr80,3559,2017 Spring Term
rln11,23071,2018 Spring Term
yg90,16992,2016 Spring Term
jem84,21324,2016 Fall Term
crw37,11266,2014 Spring Term
ny32,20007,2014 Fall Term
jag88,5821,2017 Fall Term
ah418,11325,2017 Spring Term
es324,1470,2015 Spring Term
ckm10,25007,2018 Fall Term
lhr12,21881,2014 Fall Term
njd21,18611,2013 Spring Term
jz267,7980,2015 Fall Term
scc57,17365,2016 Spring Term
yt83,21952,2014 Fall Term
jf266,15760,2013 Fall Term
jpd39,21534,2013 Spring Term
mrm63,20755,2016 Spring Term
aeh64,1326,2017 Fall Term
il35,18126,2014 Fall Term
ah412,12940,2018 Fall Term
avn11,24725,2018 Spring Term
jar131,2416,2013 Fall Term
jjb56,3189,2018 Fall Term
mth38,3558,2019 Spring Term
ame49,1672,2015 Spring Term
wim3,4160,2016 Fall Term
bw144,1494,2015 Fall Term
dcf22,22801,2017 Fall Term
av141,24403,2017 Fall Term
cc555,22423,2017 Fall Term
jy234,23622,2016 Spring Term
kdg21,8982,2018 Spring Term
cc507,8851,2016 Spring Term
jhw17,23215,2018 Spring Term
ta124,7702,2019 Spring Term
lst16,12685,2013 Fall Term
mad91,16292,2014 Fall Term
bag40,20062,2016 Spring Term
dak36,18790,2017 Spring Term
ql84,15831,2013 Fall Term
alm127,23139,2015 Spring Term
amw109,19656,2013 Spring Term
bt74,17438,2013 Fall Term
zd14,13570,2014 Spring Term
mfs41,19037,2015 Spring Term
gt83,6053,2015 Fall Term
hgr8,20567,2015 Fall Term
iru2,10194,2018 Spring Term
kl318,5118,2013 Spring Term
obr,1681,2014 Spring Term
cbd27,21114,2017 Fall Term
mh455,20870,2014 Spring Term
nne4,23316,2015 Fall Term
sy163,19060,2016 Spring Term
ajs118,23125,2019 Spring Term
tjm42,3696,2017 Fall Term
jc705,24487,2018 Spring Term
mpg31,17292,2015 Spring Term
vtr3,23104,2018 Fall Term
seg60,17299,2016 Fall Term
ckt3,5921,2015 Spring Term
jcw83,22768,2016 Fall Term
bello03w,24646,2018 Spring Term
gg95,7090,2017 Spring Term
dd198,23985,2018 Fall Term
nxw,16875,2014 Spring Term
lms113,19805,2013 Fall Term
djm53,24715,2018 Spring Term
psm28,21948,2013 Fall Term
nh140,18507,2017 Spring Term
ab539,15794,2016 Fall Term
skh37,22820,2015 Spring Term
fg71,18250,2016 Fall Term
ejc40,5030,2015 Fall Term
ajw83,16342,2015 Fall Term
ag469,4773,2015 Fall Term
rln18,18868,2016 Spring Term
mg332,24305,2018 Spring Term
cp272,20485,2016 Spring Term
tb168,21386,2015 Spring Term
aj267,3519,2019 Spring Term
jsy9,24171,2019 Spring Term
ger10,25052,2018 Fall Term
jbk41,6089,2018 Fall Term
ptx,17367,2019 Spring Term
ks512,8925,2018 Spring Term
cmb156,21433,2013 Spring Term
ecm49,2669,2018 Fall Term
kb347,17339,2018 Fall Term
wkm6,19940,2017 Fall Term
zrm6,23960,2017 Spring Term
hlw26,23642,2019 Spring Term
bello03w,12665,2014 Fall Term
hej4,12991,2014 Fall Term
eg142,5978,2014 Fall Term
cdg49,19133,2014 Spring Term
ame45,5824,2017 Fall Term
akk33,23495,2016 Spring Term
xz234,2205,2014 Spring Term
mj187,16056,2017 Fall Term
gn20,22930,2015 Spring Term
kda12,4082,2015 Spring Term
ejw38,21758,2018 Spring Term
lj138,3491,2017 Spring Term
eeo6,18283,2014 Fall Term
rl238,7530,2014 Fall Term
kdm33,20039,2014 Spring Term
jsb99,20566,2018 Fall Term
rcs47,23500,2016 Spring Term
cgm37,2959,2015 Fall Term
aca22,22175,2014 Spring Term
dyckm02w,3861,2018 Fall Term
zjb4,23928,2016 Fall Term
jc571,17811,2015 Spring Term
rsh33,22668,2019 Spring Term
lotto02c,7280,2015 Fall Term
ecb54,21429,2013 Spring Term
ns216,13570,2014 Spring Term
jfm41,17185,2013 Spring Term
nas60,17875,2018 Spring Term
ek138,23981,2016 Fall Term
ima12,3150,2014 Spring Term
yl479,13899,2017 Fall Term
aed41,19546,2018 Fall Term
dgs29,18622,2013 Spring Term
wmp10,8776,2018 Spring Term
ldm40,21563,2013 Spring Term
arb130,14361,2018 Fall Term
rpk13,13930,2019 Spring Term
cp218,22027,2014 Spring Term
sdl25,8464,2013 Fall Term
jft11,20917,2013 Spring Term
aj276,1494,2014 Fall Term
rrk19,20270,2013 Fall Term
eab94,15820,2014 Spring Term
fyf,4048,2014 Fall Term
mah138,2631,2017 Spring Term
oo21,3704,2013 Spring Term
popow02g,20589,2014 Fall Term
rk238,13687,2015 Spring Term
awm27,21903,2018 Fall Term
jw606,1705,2017 Spring Term
sed66,18505,2016 Fall Term
gyc4,22612,2019 Spring Term
am715,2651,2019 Spring Term
rugar02g,22771,2019 Spring Term
bcl22,4766,2017 Fall Term
caw49,6926,2013 Spring Term
rg203,21710,2016 Fall Term
sbw25,12986,2013 Spring Term
cat54,22108,2017 Fall Term
mz135,22357,2016 Spring Term
gx15,21735,2017 Fall Term
nbs14,20734,2013 Spring Term
eth14,20485,2013 Spring Term
mlc101,2556,2017 Spring Term
lx66,9652,2013 Fall Term
ojc4,25144,2019 Spring Term
tl126,10050,2018 Fall Term
asj19,4177,2013 Spring Term
vaa14,24467,2017 Fall Term
jch79,24301,2017 Spring Term
be41,6947,2017 Fall Term
pds21,3857,2013 Fall Term
yf57,10556,2016 Fall Term
xg41,22931,2015 Spring Term
wje4,17475,2018 Spring Term
rrg8,2604,2019 Spring Term
gs183,1708,2014 Spring Term
mwb40,24905,2019 Spring Term
dwe8,1623,2014 Spring Term
jjs95,8790,2013 Spring Term
sks36,24491,2017 Fall Term
tle17,22807,2019 Spring Term
mal80,14541,2013 Fall Term
idm8,3672,2015 Fall Term
aac57,3111,2017 Spring Term
rea24,23577,2016 Fall Term
ra138,21758,2013 Spring Term
zsb4,23756,2016 Spring Term
ecb52,12997,2017 Spring Term
and36,19538,2014 Fall Term
vc75,13748,2019 Spring Term
srb67,16959,2016 Fall Term
jw562,7595,2017 Fall Term
mls103,3506,2014 Fall Term
tdl19,22458,2015 Fall Term
ars94,10181,2018 Spring Term
anb65,1478,2016 Spring Term
fz52,20139,2016 Spring Term
jrl53,22141,2016 Fall Term
cab159,9175,2017 Fall Term
dmt38,25052,2018 Fall Term
sca21,22896,2017 Spring Term
zj45,21337,2018 Spring Term
jlb142,17440,2016 Spring Term
kzl2,8768,2013 Spring Term
dat3,8820,2019 Spring Term
bel1,1344,2013 Spring Term
rds58,7906,2017 Fall Term
csh52,24444,2017 Fall Term
ccc57,3606,2017 Fall Term
lsr26,24996,2018 Fall Term
dms,670,2017 Spring Term
yl553,10847,2016 Spring Term
hd92,18446,2017 Fall Term
dgo4,19025,2016 Fall Term
pmm48,22404,2017 Fall Term
cfo5,21434,2015 Spring Term
gmf9,2953,2014 Spring Term
tlt38,20484,2017 Fall Term
qp9,2163,2014 Spring Term
cbr19,16297,2016 Spring Term
tw194,25069,2018 Fall Term
nmr21,1057,2016 Fall Term
kam171,16847,2013 Fall Term
vs114,24155,2018 Spring Term
sf218,2176,2013 Fall Term
bab102,19731,2013 Fall Term
bts13,24427,2017 Fall Term
cdu5,23418,2015 Fall Term
sgk6,15966,2015 Fall Term
xx63,24709,2019 Spring Term
ljr18,19505,2017 Fall Term
tb258,20062,2015 Fall Term
jdc99,17351,2013 Spring Term
mcv9,19216,2018 Fall Term
ky77,1521,2015 Fall Term
av132,6952,2013 Fall Term
eas90,22920,2016 Fall Term
clt46,7104,2017 Fall Term
jnc42,6922,2014 Spring Term
ava14,24035,2016 Fall Term
yh242,5985,2015 Fall Term
ob29,24297,2017 Fall Term
rs455,14709,2018 Spring Term
nrs26,22251,2014 Spring Term
mh358,21603,2013 Fall Term
jlb152,2041,2015 Fall Term
jag90,3920,2014 Fall Term
thomp07w,23486,2018 Fall Term
wjl11,1623,2013 Spring Term
tjs78,20496,2013 Fall Term
nwc13,2177,2013 Spring Term
mkp23,24276,2017 Spring Term
sbw33,17453,2019 Spring Term
cv54,17440,2014 Fall Term
njd18,17310,2016 Spring Term
kv60,12688,2014 Fall Term
dl188,19630,2018 Fall Term
ygg,13886,2014 Fall Term
ab629,8395,2019 Spring Term
caw49,16241,2017 Fall Term
wlc11,7141,2017 Fall Term
ag478,23438,2018 Spring Term
mv132,2598,2015 Fall Term
jw496,1545,2013 Fall Term
ddk6,19556,2018 Spring Term
kmf34,20742,2016 Spring Term
ceh50,16847,2016 Spring Term
zda2,19008,2017 Fall Term
emw61,7384,2016 Spring Term
bhs11,2366,2013 Fall Term
ajd43,1504,2018 Fall Term
dg189,24551,2018 Fall Term
ald57,17584,2013 Spring Term
lbb15,21363,2015 Spring Term
kmw106,20307,2018 Fall Term
kvb7,19581,2018 Spring Term
yl501,23557,2019 Spring Term
kp140,20829,2018 Spring Term
hrm18,8402,2017 Fall Term
amg33,21441,2016 Spring Term
mm738,24258,2017 Spring Term
hz163,7415,2016 Spring Term
arc75,23121,2016 Spring Term
hjb11,24190,2017 Spring Term
msm98,6885,2013 Spring Term
yt130,20060,2015 Spring Term
sfl3,23050,2016 Fall Term
mim16,21371,2013 Spring Term
cac156,15005,2017 Spring Term
ck226,15926,2014 Spring Term
mrs93,13089,2018 Spring Term
tt123,7416,2013 Fall Term
bs269,15961,2013 Fall Term
an174,17088,2013 Spring Term
amb230,21482,2017 Spring Term
kdv8,3775,2015 Spring Term
sr342,8391,2017 Spring Term
hda2,23411,2018 Fall Term
neged02g,22783,2017 Spring Term
aa381,20744,2017 Fall Term
as882,10184,2018 Spring Term
ker40,22675,2017 Spring Term
am534,19417,2013 Spring Term
ob24,16877,2013 Fall Term
mrm38,16958,2014 Spring Term
njf9,13023,2015 Spring Term
yns3,3607,2017 Spring Term
ecb5,3917,2014 Spring Term
rvd5,9105,2014 Spring Term
kep45,20870,2013 Spring Term
hmn9,23133,2017 Fall Term
tmr28,21605,2019 Spring Term
ds452,9104,2018 Fall Term
al344,15743,2019 Spring Term
tjs66,19130,2017 Spring Term
dgg8,21540,2018 Spring Term
abs72,23264,2018 Fall Term
dyw5,21672,2016 Fall Term
nnc4,15741,2016 Spring Term
krc47,1855,2013 Spring Term
mje30,11623,2013 Fall Term
ns244,2313,2016 Fall Term
nsw16,25026,2019 Spring Term
nam02w,2606,2013 Fall Term
hsh14,3450,2016 Spring Term
kl317,18407,2016 Spring Term
eha16,24457,2018 Fall Term
vp94,23228,2015 Fall Term
oa55,23414,2017 Spring Term
tak30,21671,2013 Spring Term
sx43,21540,2014 Fall Term
rp161,15640,2013 Spring Term
rl211,14607,2015 Fall Term
ktp12,19790,2013 Fall Term
kpr21,6547,2014 Spring Term
hs240,23659,2016 Spring Term
aps54,15053,2017 Spring Term
khs22,20928,2017 Spring Term
aja26,19016,2014 Spring Term
oam4,20492,2014 Fall Term
nlb36,10449,2013 Spring Term
amb200,24127,2017 Spring Term
cc459,24154,2017 Fall Term
erk14,13583,2014 Fall Term
dtc17,7101,2016 Fall Term
knz,16847,2016 Spring Term
eap57,25475,2019 Spring Term
cbp25,8459,2015 Spring Term
cp206,2604,2017 Fall Term
js690,3713,2017 Spring Term
abb56,1359,2018 Spring Term
xl211,10237,2013 Fall Term
jakku02g,24684,2018 Spring Term
lb298,22688,2015 Fall Term
nri3,6697,2013 Fall Term
cjf39,20290,2016 Fall Term
cpd23,1687,2016 Fall Term
ecd18,23820,2019 Spring Term
rvd5,13687,2016 Spring Term
rhw4,17089,2013 Spring Term
asf45,23816,2018 Spring Term
lns24,20585,2015 Fall Term
jw439,21070,2019 Spring Term
asv13,22205,2017 Spring Term
hjp6,15210,2019 Spring Term
smd73,21386,2019 Spring Term
ldd13,3284,2017 Fall Term
ecw42,15837,2018 Spring Term
sc441,1359,2014 Spring Term
ahk23,24824,2018 Fall Term
zek3,20351,2013 Spring Term
aja26,17430,2018 Fall Term
wkh11,13886,2016 Fall Term
zc85,22914,2017 Spring Term
lai3,8827,2018 Spring Term
hac16,20176,2013 Spring Term
nf62,5563,2019 Spring Term
gs103,22424,2018 Fall Term
pg110,9332,2013 Fall Term
dg189,4434,2016 Spring Term
nb188,9815,2013 Spring Term
skm44,23232,2016 Spring Term
bjr42,6321,2018 Fall Term
aw241,15245,2014 Fall Term
mn187,18750,2018 Fall Term
kl300,1465,2015 Fall Term
trt17,17581,2013 Fall Term
mcm99,16033,2017 Fall Term
pf66,1702,2017 Fall Term
tp157,24683,2019 Spring Term
dad34,24328,2018 Fall Term
krw42,21923,2014 Spring Term
chp22,21352,2016 Fall Term
ad395,10203,2018 Spring Term
jkl36,15570,2014 Fall Term
jh625,8825,2018 Spring Term
yz449,9900,2018 Fall Term
fj17,22471,2014 Fall Term
pev2,24193,2017 Fall Term
ap474,5386,2018 Fall Term
rrw23,9311,2013 Fall Term
de62,23744,2019 Spring Term
kl303,4205,2014 Spring Term
lma39,22558,2018 Fall Term
dcd24,25030,2018 Fall Term
rl193,19369,2016 Spring Term
ab629,9691,2014 Fall Term
nbt7,8088,2018 Spring Term
jpg40,21505,2015 Fall Term
mtr26,24925,2018 Fall Term
xj18,22107,2017 Spring Term
nb195,21245,2017 Spring Term
bll30,21323,2019 Spring Term
sm689,13740,2014 Spring Term
nbm11,24680,2018 Spring Term
mm128,14956,2019 Spring Term
sfl3,16338,2019 Spring Term
saa37,2842,2017 Fall Term
mcd62,22556,2014 Fall Term
has33,17430,2015 Fall Term
jrd27,17414,2016 Spring Term
alc87,1540,2013 Spring Term
wlg14,18960,2014 Fall Term
srb68,24882,2018 Spring Term
dw253,6920,2013 Spring Term
apc30,3607,2019 Spring Term
kog,23626,2016 Spring Term
bp144,24944,2018 Fall Term